w,209.7898,455.31277,50.0,20.0
w,328.94998,256.8382,98.0,98.0
w,315.91522,421.5501,14.0,14.0
w,375.9499,489.8188,14.0,14.0
w,444.14584,495.38962,14.0,14.0
w,281.18637,482.56235,14.0,14.0
w,193.08511,483.49493,14.0,14.0
w,359.56635,338.05475,14.0,14.0
w,293.1514,358.94815,14.0,14.0
w,349.34485,342.82318,14.0,14.0
w,424.23822,354.79984,14.0,14.0
w,445.8574,321.16064,14.0,14.0
w,5.7952967,494.73895,14.0,14.0
w,638.77856,492.9975,14.0,14.0
w,8.900937,223.45065,14.0,14.0
w,27.071768,492.95,14.0,14.0
w,153.91336,496.47162,14.0,14.0
w,429.39853,492.97665,14.0,14.0
w,880.3613,148.6167,14.0,14.0
w,542.289,340.87396,14.0,14.0
w,956.90173,374.15945,14.0,14.0
w,931.93506,445.1637,98.0,98.0
w,700.9709,64.251915,98.0,98.0
w,677.468,409.95587,98.0,98.0
c,1,2,164.00305,1.0
c,2,3,91.967384,1.0
c,3,4,70.77429,1.0
c,2,5,71.34424,1.0
c,5,6,91.706055,1.0
c,1,7,87.681244,1.0
c,7,8,65.0,1.0
c,1,9,87.0919,1.0
c,9,10,73.756355,1.0
c,4,6,222.27235,0.09999993
c,6,3,192.89894,0.09999993
c,3,5,104.019226,0.09999993
c,3,10,130.26895,0.09999993
c,10,2,115.37764,0.09999993
c,2,9,83.52245,0.09999993
c,5,8,107.70329,0.09999993
c,8,2,86.313385,0.09999993
c,2,7,118.84864,0.09999993
c,8,6,137.2953,0.09999993
c,4,11,197.0406,0.09999993
c,11,1,130.86252,0.09999993
c,10,11,7.071068,0.09999993
c,6,12,201.80437,0.09999993
c,12,13,625.18,0.09999993
c,13,4,205.06097,0.09999993
c,12,1,424.57037,0.09999993
c,1,13,414.45145,0.09999993
c,1,14,326.73254,0.09999993
c,14,15,287.0627,0.09999993
c,15,1,371.3384,0.09999993
c,12,16,236.31073,0.09999993
c,16,1,331.5615,0.09999993
c,16,17,241.29857,0.09999993
c,17,13,195.78601,0.09999993
c,11,18,452.97357,0.09999993
c,18,13,453.06976,0.09999993
c,18,19,362.8016,0.09999993
c,19,20,431.72446,0.09999993
c,20,18,203.4822,0.09999993
c,19,17,190.14096,0.09999993
c,20,21,61.03278,0.09999993
c,19,11,101.28053,0.09999993
c,13,22,471.15305,0.09999993
c,22,21,455.66574,0.09999993
c,21,13,261.2428,0.09999993
c,11,21,495.10138,0.09999993
c,18,14,878.74493,0.09999993
c,22,15,805.71747,0.09999993
c,22,23,337.94028,0.09999993
