w,292.3123,316.27686,50.0,50.0
w,377.6796,174.82648,20.0,20.0
w,419.56537,320.87842,20.0,20.0
w,521.3684,164.50394,20.0,20.0
w,561.7721,312.31354,20.0,20.0
w,623.2177,152.2917,20.0,20.0
w,686.52716,313.28488,20.0,20.0
w,772.1728,152.98799,20.0,20.0
w,820.20435,295.39178,20.0,20.0
c,0,1,165.80434,1.0
c,1,2,151.8552,1.0
c,2,3,185.60173,1.0
c,3,4,154.74171,1.0
c,4,5,168.60011,1.0
c,5,6,177.60912,1.0
c,6,7,184.76201,1.0
c,7,8,149.40215,1.0
c,8,6,135.4474,1.0
c,6,4,124.61541,1.0
c,4,2,141.05673,1.0
c,2,0,125.973724,1.0
c,1,3,146.0,1.0
c,3,5,104.00481,1.0
c,5,7,147.76332,1.0
